USERID,COUNTRY,LANGUAGE,RegistrationDate,AGE,GENDER,FOTotalStakes,FOTotalWinnings,FOTotalBets,FOFirstActiveDate,FOLastActiveDate,FOTotalDaysActive,LATotalStakes,LATotalWinnings,LATotalBets,LAFirstActiveDate,LALastActiveDate,LATotalDaysActive,FirstSportsActiveDate
1324354,276,2,2005-02-01,42,1,10137,10224,236,2005-02-24,2005-09-30,97,1839,1512,43,2005-05-04,2005-09-26,18,2005-02-24
1324355,300,8,2005-02-01,22,1,401,453,231,2005-02-01,2005-09-29,72,25,11,21,2005-02-01,2005-02-07,7,2005-02-01
1324356,276,2,2005-02-01,28,1,686,286,98,2005-02-02,2005-09-12,38,679,625,116,2005-02-02,2005-09-11,23,2005-02-02
1324358,752,1,2005-02-01,24,1,248,154,7,2005-02-01,2005-05-06,5,89,56,4,2005-05-03,2005-05-03,1,2005-02-01
1324360,792,7,2005-02-01,27,1,60,40,40,2005-02-02,2005-09-25,17,2,1,3,2005-02-12,2005-09-21,2,2005-02-02
1324362,276,2,2005-02-01,22,1,22,0,7,2005-02-11,2005-09-17,5,,,,,,,2005-02-11
1324363,208,11,2005-02-01,22,1,42,0,3,2005-02-01,2005-02-22,3,,,,,,,2005-02-01
1324364,276,2,2005-02-01,37,1,85,3,11,2005-02-04,2005-09-11,8,210,40,37,2005-02-03,2005-09-28,12,2005-02-03
1324368,620,16,2005-02-01,22,1,2034,1932,149,2005-03-18,2005-08-28,56,6086,6075,328,2005-03-31,2005-08-21,60,2005-03-18
1324369,792,7,2005-02-01,20,1,108,48,91,2005-02-01,2005-05-06,32,147,119,112,2005-02-01,2005-05-04,35,2005-02-01
1324372,616,9,2005-02-01,31,1,401,393,198,2005-03-04,2005-09-18,44,202,174,197,2005-03-04,2005-09-11,27,2005-03-04
1324377,208,11,2005-02-01,25,1,10,7,8,2005-02-01,2005-02-04,2,7,0,4,2005-02-03,2005-02-03,1,2005-02-01
1324378,276,2,2005-02-01,22,1,69,0,8,2005-02-01,2005-05-14,4,11,0,4,2005-02-02,2005-02-20,2,2005-02-01
1324379,300,8,2005-02-01,23,1,2874,2136,440,2005-03-12,2005-09-30,115,3890,3792,868,2005-04-03,2005-09-30,88,2005-03-12
1324383,578,10,2005-02-01,53,1,1189,3031,4,2005-05-12,2005-06-12,3,,,,,,,2005-05-12
1324385,276,2,2005-02-01,30,1,4722,6325,22,2005-02-01,2005-05-01,12,,,,,,,2005-02-01
1324386,756,1,2005-02-01,27,1,3652,3967,171,2005-02-09,2005-09-29,60,7328,7023,265,2005-04-21,2005-09-29,52,2005-02-09
1324393,826,1,2005-02-01,19,1,378,313,254,2005-02-01,2005-04-28,43,,,,,,,2005-02-01
